date	edited_by	job	researched_by	source	state	statement	subjects	truth
2012-04-09	Caryn Shinske		Erin O'Neill	John Burzichelli		"Says in the governor’s proposed budget ""the use of that, what is called one-shots, is a 500 percent increase over the last Corzine budget."""	['State Budget', 'State Finances']	2
2012-04-09	Elizabeth Miniet, Jim Tharpe		Willoughby Mariano	Nathan Deal		"""As the usage [of synthetic marijuana] has dramatically increased, instances of violence, bodily harm and even death have risen with it."""	['Drugs', 'Marijuana']	4
2012-04-09	Warren Fiske	Republican	Nancy  Madsen	Morgan Griffith	Virginia	"""On most things except witch trials, Virginia will always have been first."""	['History', 'States']	1
2012-04-09	Robert Higgs	Democrat	Joe Guillen	Eric Kearney	Ohio	"An effort to repeal voting-reform legislation would be ""the first time in Ohio history where a bill has been passed to stop a referendum."""	['Elections', 'Government regulation']	5
2012-04-08	Greg Borowski		Tom Kertscher	Eric Hovde		"Says Obama health reform law denies millions ""access to affordable insurance."""	['Health Care', 'Workers']	1
2012-04-08	Caryn Shinske	Republican	Bill Wichert	Amy Handlin	New Jersey	"Says under the Affordable Care Act, New Jersey’s ""new (Medicaid) enrollees won’t qualify for the matching federal funds simply because we added them onto the rolls before 2014."""	['Health Care', 'Medicaid']	2
2012-04-08	Tim Murphy		C. Eugene Emery Jr.	Jeffrey Hernandez		Says his reform efforts improved performance at all 10 low-performing schools in Palm Beach, Florida.	['City Budget', 'Education', 'Florida']	3
2012-04-06	Martha M. Hamilton	Democrat	Becky Bowers	Barack Obama	Illinois	"Under the House Republican budget, ""if these cuts were to be spread out evenly … the year after next, nearly 10 million college students would see their financial aid cut by an average of more than $1,000 each."""	['Education', 'Federal Budget']	3
2012-04-06	Zack McMillin	Republican	Michael Collins	James Durkan	Tennessee	"Adding ethanol to gas ""raises food costs."""	['Agriculture', 'Energy']	4
2012-04-06	Martha M. Hamilton	Republican	Molly Moorhead	Mitt Romney	Massachusetts	Says Obama has failed to pass a budget.	['Federal Budget']	2
2012-04-06	Angie Drobnic Holan		Amy Sherman	Priorities USA Action		"""Mitt Romney’s pledged to protect (oil companies') record profits – and their billions in special tax breaks, too."""	['Energy', 'Taxes']	3
2012-04-06	Greg Borowski		Dave Umhoefer	AFSCME		Says gubernatorial recall candidate Tom Barrett supported passage of Gov. Scott Walker’s bill stripping collective bargaining of state employees.	['Labor', 'State Budget']	1
2012-04-05	Martha M. Hamilton	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"""Republicans in Congress refuse to list a single tax loophole they are willing to close."""	['Federal Budget', 'Taxes']	5
2012-04-05	Robert Higgs	Republican	Tom Feran	John Kasich	Ohio	"""We were the No. 1 job creator in America in February and we are now the No. 4 job creator in the last year."""	['Economy', 'Jobs']	5
2012-04-05	Angie Drobnic Holan	Republican	Amy Sherman	Lenny Curry	Florida	"""Before this law, any group could go out anywhere, register voters, sit on the voter registration forms for unlimited amount of time."""	['Elections']	2
2012-04-05	Greg Borowski	Republican	Dave Umhoefer	Republican Governors Association	Washington, D.C.	"""In his very first budget, (Milwaukee) Mayor Tom Barrett broke his pledge to keep a lid on property taxes and has continued increasing taxes and fees ever since."""	['City Budget', 'Taxes']	2
2012-04-05	Caryn Shinske	Republican	Bill Wichert	Chris Christie	New Jersey	"""To get out of the (teachers) union, you pay 85 percent of $731. Then you're out of the union, but you've got to pay it every year, also required by statute. That’s called a representation fee."""	['Education', 'Unions']	5
2012-04-05	John Bridges	Republican	W. Gardner Selby	Donna Campbell	Texas	Says Jeff Wentworth was the only Republican to vote against the Texas measure requiring women to have a sonogram before receiving an abortion.	['Abortion']	4
2012-04-05	Robert Higgs	Republican	Stephen Koff	Josh Mandel	Ohio	"Sherrod Brown opposed blocking a new EPA emissions rule, ""despite acknowledging that the EPA's cap-and-trade regulations are ‘burdensome’ and could harm economic growth in Ohio."""	['Economy', 'Environment', 'Government regulation', 'Jobs']	2
2012-04-05	Tim Murphy	Republican	Alex Kuffner	Doreen Costa	Rhode Island	"""This is the only state in the country that bypassed the General Assembly to authorize [in-state tuition for undocumented immigrants]."""	['Education', 'Immigration', 'States']	5
2012-04-04	John Bridges	Republican	W. Gardner Selby	David Dewhurst	Texas	Says Barack Obama has played over 90 rounds of golf as president.	['Economy', 'Poverty', 'Recreation']	5
2012-04-04	Martha M. Hamilton	Democrat	Angie Drobnic Holan	Barack Obama	Illinois	"Says Ronald Reagan ""understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases."""	['History', 'Taxes']	4
2012-04-04	Amy Hollyfield	Republican	Angie Drobnic Holan, Molly Moorhead, Aaron Sharockman	Mitt Romney	Massachusetts	"Says Barack Obama ""is the only president to ever cut $500 billion from Medicare."""	['Candidate Biography', 'Health Care', 'Medicare']	1
2012-04-04	Martha M. Hamilton	Democrat	Molly Moorhead	Barack Obama	Illinois	"If the Supreme Court throws out the federal health care law, it ""would be an unprecedented, extraordinary step of overturning a law that was passed by a strong majority of a democratically elected Congress."""	['Health Care', 'Legal Issues', 'Supreme Court']	1
2012-04-04	W. Gardner Selby		Sue Owen	Chain email		Says Texas retained the right to have a navy when it joined the United States.	['History', 'Military', 'States']	0
2012-04-04	Amy Hollyfield		Aaron Sharockman	Facebook posts		"""Richard Hayne, president and CEO of Urban Outfitters … (is) a supporter of Rick Santorum and donated over $13,000 to him."""	['Candidate Biography', 'Elections', 'Families', 'Pop Culture']	3
2012-04-04	Caryn Shinske		Erin O'Neill	Donald Verrilli		"Says when New Jersey adopted guaranteed coverage and cost provisions without a mandate individual health insurance market rates ""doubled or tripled"" and enrollment dropped from 180,000 people to 80,000 people."	['Health Care', 'States']	4
2012-04-04	Warren Fiske	Republican	Sean Gorman	Scott Lingamfelter	Virginia	"Tim Kaine ""reduced higher education funding by 25 percent when he was governor, driving up tuition..."""	['Education', 'State Budget']	4
2012-04-04	John Bridges	Democrat	W. Gardner Selby	Brigid Shea	Texas	"In ""the past 10 years, our (Austin) water rates have increased by 100 percent and we now have the highest water cost of the top 10 cities in Texas."""	['Water']	4
2012-04-04	Elizabeth Miniet, Jim Tharpe	Democrat	Eric Stirgus	Rashad Taylor	Georgia	"""More children die in agricultural jobs than in any other industry."""	['Children', 'Labor']	5
2012-04-03	Martha M. Hamilton	Republican	Becky Bowers, Adam Offitzer	Rick Santorum	Pennsylvania	"""I think it’s seven or eight of the California system of universities don’t even teach an American history course. It’s not even available to be taught."""	['Education', 'History']	1
2012-04-03	Angie Drobnic Holan		Amy Sherman	Brady Campaign to Prevent Gun Violence		"The Florida Department of Agriculture’s website FreshFromFlorida.com can be used ""to get a permit to carry a loaded hidden gun without ever leaving your house."""	['Guns']	1
2012-04-03	Dee Lane	None	Ian K. Kullgren	Charlie Hales	Oregon	"Says ""streetcars carry more people than buses … you attract more riders who don't ride transit now, and actually the operating costs are not any greater than the bus."""	['Transportation']	5
2012-04-03	Robert Higgs	Democrat	Henry J.  Gomez	Ohio Democratic Party	Ohio	"Says Ohio Treasurer Josh ""Mandel first claimed bank fraud in June 2010 but did nothing for more than a year while raising money for his (Republican) Senate campaign."""	['Government Efficiency', 'Job Accomplishments']	0
2012-04-03	W. Gardner Selby	Democrat	Meghan Ashford-Grooms	Rosemary Lehmberg	Texas	"Says she ""created the first felony deferred prosecution program for nonviolent first-offenders"" in Texas."	['County Government', 'Crime', 'Criminal Justice', 'Legal Issues', 'Public Safety']	2
2012-04-03	Elizabeth Miniet, Jim Tharpe		Willoughby Mariano	Stacey Abrams		"""We have the lowest per-capita spending of any state in the nation"" except for South Dakota."	['State Budget', 'State Finances']	4
2012-04-03	Tim Murphy		C. Eugene Emery Jr.	Chain email		"""Having an entirely Democrat congressional delegation in 2009, when the [federal stimulus] bill passed, increases the per capita stimulus dollars that the state receives per person by $460."""	['Congress', 'Elections', 'Stimulus']	3
2012-04-02	Martha M. Hamilton		Molly Moorhead	American Energy Alliance		"""Obama opposed exploring for energy in Alaska."""	['Environment', 'Gas Prices', 'Message Machine 2012']	3
2012-04-02	Dee Lane		Janie Har	Tim Knopp		"Says ""today unemployment has been running near 12 percent or more for the last four years"" and the Legislature hasn’t done much to lower it."	['Jobs']	3
2012-04-02	Martha M. Hamilton	Democrat	Becky Bowers	Barack Obama	Illinois	"Last year, ""Exxon pocketed nearly $4.7 million every hour."""	['Corporations', 'Energy']	5
2012-04-02	Aaron Sharockman	Republican	Katie Sanders	Rick Scott	Florida	"Says Barack Obama's health care law ""will be the biggest job-killer ever."""	['Economy', 'Health Care', 'Jobs']	1
2012-04-02	Caryn Shinske	Republican	Bill Wichert	New Jersey Republican State Committee	New Jersey	"""And the #jerseycomeback keeps rolling! Thanks to @GovChristie NJ now has lowest corruption risk of any state."""	['Ethics']	1
2012-04-02	Jim  Denery, Jim Tharpe		Eric Stirgus	Eric Johnson		"""Obama tells Russia that he'll turn over America's defense system to them if re-elected."""	['Foreign Policy', 'Military']	0
2012-04-02	Robert Higgs	Republican	Stephen Koff	Rob Portman	Ohio	"""Last year, we produced 14 percent less oil on public lands than we did the year before."""	['Energy']	4
2012-04-01	Caryn Shinske		Erin O'Neill	Frank LoBiondo		"Says ""new estimates from the Congressional Budget Office conclude the final price-tag"" for the health care law ""will exceed $2 trillion — more than double what was initially reported."""	['Health Care']	1
2012-04-01	Tim Murphy	Newsmaker	Alex Kuffner	John Elkhay	Rhode Island	"If Rhode Island raises the meal and beverage tax to 10 percent, it would be the ""fourth-highest in the nation."""	['City Budget', 'Economy', 'State Budget', 'Taxes']	3
2012-03-30	Dee Lane	Republican	Ian K. Kullgren	Jeff Kruse	Oregon	"Says ""for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut."""	['Government Efficiency', 'State Budget']	0
2012-03-30	Bill Adair		Rob  Feinberg, Louis Jacobson	Andrew Napolitano		"A bill that could restrict free speech when the president is nearby was signed by President Barack Obama ""in secret."""	['Congressional Rules', 'Legal Issues', 'Transparency']	0
2012-03-30	John Bridges	Democrat	Sue Owen, W. Gardner Selby	Charlie Baird	Texas	"""We've had the same leadership in the Travis County DA's office for 30 years."""	['Candidate Biography', 'Legal Issues']	2
2012-03-30	Jim  Denery, Jim Tharpe		Willoughby Mariano	Lynn Westmoreland		"""There is not one single federal housing program yet that has not needed a bailout to survive."""	['Housing']	3
2012-03-30	Zack McMillin	Republican	Bartholomew Sullivan	Marsha Blackburn	Tennessee	"Says President Obama and his allies in Congress gave ""power"" to control Medicare patients’ health care decisions to ""a commission of 15 unelected bureaucrats in Washington."""	['Health Care']	1
2012-03-29	Dee Lane	None	Janie Har	Lars Larson	Oregon	"""Every time the weight of that vehicle is reduced by a hundred pounds, your chances of dying are going to go up by about 5 percent. Peel three hundred pounds off – you’re 15 percent more likely to die in that car."""	['Energy', 'Environment', 'Regulation', 'Transportation']	2
2012-03-29	Martha M. Hamilton	Republican	Molly Moorhead	Rick Santorum	Pennsylvania	"""Polls show Americans are overwhelmingly opposed to Obamacare, especially the individual mandate."""	['Health Care']	4
2012-03-29	W. Gardner Selby	None	Sue Owen	Michelle  Malkin	Colorado	"Says Gloria Steinem once called Kay Bailey Hutchison a ""female impersonator."""	['Abortion', 'Congress', 'Women']	5
2012-03-29	Caryn Shinske	Democrat	Bill Wichert	Bill Pascrell	New Jersey	Says Congressman Steve Rothman voted against funding for President Barack Obama’s auto bailout and would have let automakers go bankrupt.	['Economy', 'Message Machine 2012']	3
2012-03-29	Robert Higgs		Tom Feran	Pat Boone		"""Medicare will be bankrupt in nine years."""	['Medicare']	1
2012-03-29	Zack McMillin	Republican	Richard Locker	Dolores Gresham	Tennessee	"""Right now we have sufficient reserves to take care of Tennessee's lottery scholarship students for a few years more."""	['Deficit', 'Lottery', 'State Finances']	1
2012-03-28	John Bridges	Republican	W. Gardner Selby	Rick Perry	Texas	Says you need a photo ID to purchase Sudafed in Texas.	['Elections', 'Legal Issues']	5
2012-03-28	Greg Borowski	Democrat	James B. Nelson	Graeme Zielinski	Wisconsin	"Says the Wisconsin Republican Party tweeted ""Happy International Women's Day! You ladies should get paid less and not be able to make health care decisions."""	['Crime']	0
2012-03-28	Aaron Sharockman	Republican	Amy Sherman	George LeMieux	Florida	"Says U.S. Rep. Connie Mack ""took seven and a half years to finish college."""	['Candidate Biography', 'Education']	2
2012-03-28	W. Gardner Selby		Sue Owen, W. Gardner Selby	Chain email		"Says a Barack Obama ""black imposter"" joke got a standing ovation at San Angelo rodeo."	['Polls and Public Opinion']	2
2012-03-28	Martha M. Hamilton	Republican	Molly Moorhead	Rick Santorum	Pennsylvania	"Says Mitt Romney said ""we are going to have to live with high gas prices, it's a good thing because it will reduce consumption, we don't want to produce any more gasoline."""	['Gas Prices']	3
2012-03-28	Caryn Shinske		Bill Wichert	Steve Rothman		"Says Congressman Bill Pascrell ""voted to remove the public option from the Affordable Health Care Act."""	['Health Care']	1
2012-03-28	Jim  Denery, Jim Tharpe	Democrat	Eric Stirgus	Nan Orrock	Georgia	"""The state [food stamp call center] program is administered from foreign shores."""	['State Budget']	2
2012-03-28	Robert Higgs	None	Aaron Marshall	Ohio Federation of Teachers	Ohio	"""The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement."""	['Education']	2
2012-03-28	Tim Murphy	Democrat	Edward Fitzpatrick	Harold Metts	Rhode Island	"Says when Rhode Island Lottery was proposed, ""state residents were enticed to vote for it with the promise that the money would be used for education."""	['Education', 'Gambling', 'History', 'State Budget', 'State Finances']	1
2012-03-27	Martha M. Hamilton	Republican	Becky Bowers	Senate Republican Conference	Washington, D.C.	"""Up to 80 percent of small businesses will be forced to give up their current plans due to new Obamacare regulations."""	['Health Care', 'Message Machine 2012', 'Small Business', 'Workers']	3
2012-03-27	Martha M. Hamilton	Democrat	Molly Moorhead	Barack Obama	Illinois	"President Barack Obama ""reduced the cost of prescription drugs for nearly 3.6 million Americans in 2011."""	['Health Care', 'Medicare', 'Message Machine 2012']	5
2012-03-27	Aaron Sharockman	Republican	Katie Sanders	Jimmie T. Smith	Florida	"""It was found unconstitutional to drug test elected officials because it prevents us, as citizens, from having that First Amendment right."""	['Drugs']	1
2012-03-27	Jim  Denery, Jim Tharpe	Republican	Willoughby Mariano	Tom Price	Georgia	"New federal projections estimate that the health care overhaul ""will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed."""	['Health Care']	1
2012-03-26	Martha M. Hamilton	Republican	Louis Jacobson	Senate Republican Conference	Washington, D.C.	"Says that while President Barack Obama promised to ""work with your employer to lower your premiums by $2,500 per family per year,"" his health care law ""raises premiums in the individual market by $2,100 per family."""	['Health Care', 'Message Machine 2012']	2
2012-03-26	Aaron Sharockman	Democrat	Amy Sherman	Christopher L. Smith	Florida	"Since Florida passed the ""stand your ground"" law in 2005, deaths due to self-defense have jumped over 250 percent."	['Crime', 'Criminal Justice', 'Guns']	3
2012-03-26	Greg Borowski	Republican	Dave Umhoefer	Tommy Thompson	Wisconsin	"Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the state’s unemployment rate was ""the lowest in the country for 40 consecutive months."""	['Economy', 'Job Accomplishments', 'Jobs']	1
2012-03-26	Caryn Shinske	Republican	Erin O'Neill	Joseph Kyrillos	New Jersey	"Says under the new health care law ""the patient-doctor relationship will be eliminated."""	['Health Care']	0
2012-03-26	Warren Fiske	Republican	Nancy Madsen, Molly Moorhead	Robert Hurt	Virginia	"The CBO says the cost of health care reform will rise to $1.8 trillion, ""increasing the price to far greater than the $900 billion"" originally projected."	['Health Care']	2
2012-03-26	Jim  Denery, Jim Tharpe	Republican	Eric Stirgus	Brian Robinson	Georgia	"The changes to Georgia’s tax and fee structure ""is an overall tax cut."""	['State Budget', 'State Finances', 'Taxes']	5
2012-03-26	Jane Kahoun	Democrat	Peter Krouse	Marcy Kaptur	Ohio	"""The poorest in this country are women."""	['Families', 'Poverty', 'Women']	5
2012-03-25	Greg Borowski	Republican	Tom Kertscher	Glenn Grothman	Wisconsin	"Says a study shows that children who live with a biological parent and the parent's boyfriend or girlfriend ""have a 20 times greater chance of being sexually abused."""	['Children', 'Crime', 'Families', 'Marriage']	5
2012-03-25	Suzanne Pavkovic	Republican	Caryn Shinske	Chris Christie	New Jersey	Says he and President Barack Obama have the same position on gay marriage.	['Gays and Lesbians', 'Marriage']	3
2012-03-25	Tim Murphy	Democrat	Alex Kuffner	Peter  Palumbo	Rhode Island	"""Every poll you see, the overwhelming majority of people want [E-Verify]."""	['Immigration', 'Polls and Public Opinion', 'Workers']	5
2012-03-24	W. Gardner Selby	Democrat	Meghan Ashford-Grooms	Elliott Naishtat	Texas	"""Nearly 45 percent of the women who receive health screenings through (the Women’s Health Program) do so at a Planned Parenthood health center."""	['Abortion', 'Health Care', 'Public Health', 'Women']	3
2012-03-24	John Bridges	Democrat	W. Gardner Selby	Elliott Naishtat	Texas	"""More than half of the births in Texas are paid for by Medicaid."""	['Children', 'Medicaid']	5
2012-03-23	Amy Hollyfield	Republican	Angie Drobnic Holan	Dennis Baxley	Florida	"""We’ve had a dramatic drop in violent crime since this law (‘stand your ground’) has been in effect."""	['Corrections and Updates', 'Crime', 'Criminal Justice']	3
2012-03-23	Bruce  Hammond	Democrat	Janie Har	Peter DeFazio	Oregon	Says only seven percent of 2009’s stimulus bill went toward transportation projects, yet they created over one-third of the bill’s total jobs.	['Stimulus', 'Transportation']	2
2012-03-23	Bill Adair	Republican	Louis Jacobson	Reince Priebus	Wisconsin	"According to the Congressional Budget Office, ""as many as 20 million Americans could lose their employer-based insurance thanks to Obamacare."""	['Health Care', 'Workers']	3
2012-03-23	Bill Adair	Republican	Jake Berry	New Hampshire Republican Party	New Hampshire	Says former U.S. Rep. Carol Shea-Porter refused to host town hall meetings during her time in Congress.	['Job Accomplishments', 'New Hampshire 2012', 'Transparency']	2
2012-03-23	W. Gardner Selby	Republican	Meghan Ashford-Grooms	Rick Perry	Texas	"Says that in fiscal year 2010, ""nearly 80 percent of women served"" in the Texas Women’s Health Program received services from a provider other than a Planned Parenthood clinic."	['Abortion', 'Health Care', 'Public Health', 'Women']	3
2012-03-23	Warren Fiske	Democrat	Nancy  Madsen	Jim Moran	Virginia	"""And the revenue generated by drilling off Virginia’s coast? $40 million over 10 years."""	['Energy', 'State Finances']	2
2012-03-23	Caryn Shinske	Democrat	Bill Wichert	Sheila Oliver	New Jersey	"Says ""New Jersey has the most educated population of all the states in this country."""	['Education']	4
2012-03-23	Elizabeth Miniet, Jim Tharpe		Willoughby Mariano	Metro Atlanta Voter Education Network		"Metro Atlantans spend ""over an hour every day"" or ""five hours a week"" commuting, for a total of ""260 hours a year."""	['Message Machine 2012', 'Transportation']	3
2012-03-23	Jane Kahoun	Republican	Tom Feran	John Boehner	Ohio	"""New business startups are at the lowest levels in 30 years."""	['Economy', 'Jobs']	5
2012-03-22	Angie Drobnic Holan	Democrat	Katie Sanders	Arthenia Joyner	Florida	"""When we passed (the stand your ground law), we said it portends horrific events when people's lives were put into these situations."""	['Crime', 'Criminal Justice']	5
2012-03-22	Martha M. Hamilton		Molly Moorhead	American Bridge 21st Century		Says Romney flip-flopped on abortion.	['Abortion', 'Message Machine 2012']	5
2012-03-22	Angie Drobnic Holan	Republican	Amy Sherman	Marco Rubio	Florida	"The RESTORE Act started as an ""effort to dedicate as much BP fine money as possible towards Gulf Coast restoration"" but now ""could steer money to places like the Great Lakes and West Coast."""	['Environment', 'Federal Budget', 'Oil Spill']	3
2012-03-22	Bill Adair, Martha M. Hamilton	Republican	Sabrina  Eaton, Angie Drobnic Holan, Louis Jacobson, Willoughby Mariano, Molly Moorhead	Mitt Romney	Massachusetts	"President Barack Obama is ""ending Medicare as we know it."""	['Health Care', 'Medicare']	0
2012-03-22	Therese Bottomly	Democrat	Ian K. Kullgren	Jefferson Smith	Oregon	"Says ""we got a chance to pass what I think is Oregon's first human trafficking bill which has increased by 66 percent the calls to the human trafficking hotline."""	['Human Rights']	2
2012-03-22	Caryn Shinske		Erin O'Neill	Susan Cole		"""New Jersey loses net, that is minus those who come into the state, 30,000 students a year."""	['Education']	5
2012-03-22	Meghan Ashford-Grooms	Republican	W. Gardner Selby	David Dewhurst	Texas	Says gas costs $4.50 a gallon.	['Energy', 'Gas Prices']	2
2012-03-22	Jane Kahoun	Democrat	Sabrina  Eaton, Rich Exner	Marcy Kaptur	Ohio	Says Lake Erie contains more native fish than all the other Great Lakes combined.	['Environment', 'Recreation', 'Water']	4
2012-03-21	Martha M. Hamilton		Louis Jacobson	Bloggers		"The administration has issued rules for ""$1 abortions in ObamaCare"" and ""requires all persons enrolled in insurance plans that include elective abortion coverage to pay"" an abortion premium."	['Abortion', 'Health Care']	1
2012-03-21	Bill Adair	Democrat	Becky Bowers	Barack Obama	Illinois	"""(GM and Chrysler) repaid their loans."""	['Candidate Biography', 'Corporations', 'Economy', 'Message Machine 2012', 'Stimulus']	3
2012-03-21	Bruce  Hammond		Janie Har	Oregon Lottery		"""However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific."""	['Jobs']	3
2012-03-21	Martha M. Hamilton	Republican	Molly Moorhead	Ted Cruz	Texas	"""Did you know ObamaCare will cost nearly twice as much as initially expected -- $1.8 TRILLION?"""	['Health Care']	1
2012-03-21	Greg Borowski	Democrat	Tom Kertscher	David A. Clarke Jr.	Wisconsin	"Says Milwaukee County Executive Chris Abele ""eliminated"" sheriff’s office funding for providing security for presidential and presidential campaign visits."	['County Budget', 'County Government', 'Crime', 'Elections']	3
2012-03-21	Caryn Shinske	Democrat	Bill Wichert	Bill Pascrell	New Jersey	"""Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that."""	['Jobs', 'Small Business']	1
2012-03-21	Warren Fiske	Republican	Nancy  Madsen	Bob McDonnell	Virginia	"""This bill allows Virginia to join about 23 other states that have an ultrasound procedure"" before an abortion."	['Abortion']	4
2012-03-20	Martha M. Hamilton		Louis Jacobson	Republican National Committee		"Despite President Barack Obama's promise to cut healthcare costs, ""the average cost of a family policy is up $1,300."""	['Health Care', 'Message Machine 2012']	3
2012-03-20	Bill Adair, Tom Chester		Tom Humphrey, Zack McMillin	The Tax Foundation		Says Tennessee has some of the lowest beer excise tax rates in the country.	['Alcohol', 'Corrections and Updates', 'Taxes']	3
2012-03-20	Jane Kahoun	Republican	Stephen Koff	Josh Mandel	Ohio	"""Make no mistake -- Sherrod Brown is one of the main D.C. politicians responsible for Ohio jobs moving to China."""	['Job Accomplishments', 'Trade']	0
2012-03-20	Jim  Denery, Jim Tharpe		Eric Stirgus	Judson Hill		"""Every 1 percent increase in the cost of health insurance today causes about 30,000 Georgians to be uninsured."""	['Health Care']	2
2012-03-20	Tim Murphy	Republican	Alex Kuffner	Brendan Doherty	Rhode Island	"""We have $60 billion in 2010 in Medicare fraud."""	['Health Care', 'Medicare']	3
2012-03-19	Dee Lane	Democrat	Ian K. Kullgren	Rod Monroe	Oregon	"Says ""the No. 2 cause of death in the U.S. (for) women under 50 is being killed by their spouse or domestic partner."""	['Crime', 'Families', 'Women']	1
2012-03-19	Martha M. Hamilton	Democrat	Louis Jacobson	Barack Obama	Illinois	"Because of the new health care law, ""Americans no longer will see their coverage dropped or capped when illness strikes."""	['Health Care', 'Job Accomplishments', 'Message Machine 2012']	4
2012-03-19	Martha M. Hamilton	Democrat	Molly Moorhead	Barack Obama	Illinois	"By the time Obama took office, ""The Bush administration had given the car companies $13 billion and the money was now gone."""	['Economy', 'Message Machine 2012']	4
2012-03-19	Greg Borowski		Tom Kertscher	Edward  Flynn		"Says 85 percent of Milwaukee shootings involve ""people with extensive criminal records shooting other people with extensive criminal records."""	['Corrections and Updates', 'Crime', 'Guns']	3
2012-03-19	Caryn Shinske	Democrat	Bill Wichert	John McKeon	New Jersey	"Says ""the governor took away a billion dollars of rebates, so in real dollars, our property taxes have gone up 20 percent."""	['State Budget', 'Taxes']	3
2012-03-19	Jim  Denery, Jim Tharpe		Eric Stirgus	Kasim Reed		"""We also have, in a park that’s not far from here, an ability to build a reservoir that can hold a 30-day water supply for the city of Atlanta."""	['Water']	4
2012-03-19	Robert Higgs		Sabrina  Eaton, Tom Feran	Pat Boone		"An independent payment advisory board created by the health care reform law ""can ration care and deny certain Medicare treatments."""	['Health Care', 'Medicare', 'Message Machine 2012']	0
2012-03-18	Greg Borowski		Dave Umhoefer	Kathleen Falk		"Says Gov. Scott Walker ""didn’t balance the budget"" so ""we now have a larger state deficit 14 months into (his) term than we did when he was elected."""	['State Budget']	3
2012-03-18	Caryn Shinske		Erin O'Neill	Chris Smith		"Says there have been ""well over"" 54 million abortions since 1973."	['Abortion', 'Supreme Court', 'Women']	4
2012-03-18	Tim Murphy	Republican	Edward Fitzpatrick	Barry Hinckley	Rhode Island	"""More than 27,000 Rhode Island jobs depend on trade with Canada."""	['Economy', 'Energy']	5
2012-03-16	Bill Adair	Democrat	Louis Jacobson	Barack Obama	Illinois	"Because of the new health care law, ""17 million kids can no longer be denied for a pre-existing condition."""	['Health Care', 'Job Accomplishments', 'Message Machine 2012']	2
2012-03-16	Bill Adair	Democrat	Louis Jacobson	Barack Obama	Illinois	"Because of the new health care law, ""2.5 million young adults now have coverage."""	['Health Care', 'Job Accomplishments', 'Message Machine 2012']	4
2012-03-16	Dee Lane	Republican	Janie Har	Dennis Richardson	Oregon	"""While 9,000 state employees were added to the state’s payroll, Oregon’s revenue forecasts dropped by more than $4 billion."""	['State Budget', 'State Finances']	3
2012-03-16	Warren Fiske	Republican	Sean Gorman, Willoughby Mariano, Eric Stirgus	Frank Wolf	Virginia	"""In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree."""	['Retirement', 'Social Security']	5
2012-03-16	Angie Drobnic Holan	Democrat	Amy Sherman	Luis Garcia	Florida	"Says David Rivera ""allowed House Republican leaders to strip key provisions from the STOCK Act"" that would crack down on insider trading by members of Congress."	['Candidate Biography', 'Ethics']	2
2012-03-16	Angie Drobnic Holan	Democrat	Amy Sherman	Luis Garcia	Florida	"Says David Rivera ""received a $5,000 campaign contribution from Congressman Spencer Bachus, who is currently under House Ethics investigation for insider trading."""	['Campaign Finance', 'Ethics']	4
2012-03-16	John Bridges	Democrat	W. Gardner Selby	Texas Democratic Party	Texas	"""In Texas, there are 668 Democratic Hispanic elected officials to the 60 in the Republican Party."""	['Candidate Biography', 'Diversity', 'Elections', 'History']	4
2012-03-15	Aaron Sharockman		Angie Drobnic Holan	Pat Boone		"""This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending."""	['Health Care', 'Medicare', 'Retirement']	0
2012-03-15	Greg Borowski	Democrat	Tom Kertscher	Democratic Party of Wisconsin	Wisconsin	"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker."	['Elections']	1
2012-03-15	Greg Borowski	Republican	James B. Nelson	Joel Kleefisch	Wisconsin	The Wisconsin state Assembly chambers extend to the bathroom and the parlor, and rules allow members to vote for each other if the member is in the chambers.	['Ethics']	4
2012-03-15	Caryn Shinske		Bill Wichert	Stephen Sweeney		"Says ""my plan is a property tax cut."""	['State Budget', 'Taxes']	3
2012-03-15	Robert Higgs	Republican	Joe Guillen	John Kasich	Ohio	"""The total (state) payroll has gone down. The total amount of the number of workers in the state has gone down. I like the fact that the bulk of that is just by retirements."""	['Government Efficiency', 'State Budget', 'State Finances']	3
2012-03-15	Tim Murphy	Democrat	Alex Kuffner	Robert Jacquard	Rhode Island	"""There are a lot of casinos across the country that have gone bankrupt."""	['Bankruptcy', 'Economy', 'Gambling', 'State Budget', 'State Finances', 'States']	5
